Datetime,Heart Rate
2019-11-12 13:15:23,134
2019-11-12 13:15:28,133
2019-11-12 13:15:38,135
2019-11-12 13:15:43,139
2019-11-12 13:15:48,136
2019-11-12 13:15:53,135
2019-11-12 13:16:08,135
2019-11-12 13:16:13,139
2019-11-12 13:16:18,138
2019-11-12 13:16:23,136
2019-11-12 13:16:28,135
2019-11-12 13:16:33,134
2019-11-12 13:16:43,133
2019-11-12 13:16:49,132
2019-11-12 13:16:54,129
2019-11-12 13:16:59,123
2019-11-12 13:17:04,121
2019-11-12 13:17:09,129
2019-11-12 13:17:14,133
2019-11-12 13:17:19,133
2019-11-12 13:17:24,132
2019-11-12 13:17:29,128
2019-11-12 13:17:44,130
2019-11-12 13:17:49,131
2019-11-12 13:18:04,131
2019-11-12 13:18:14,133
2019-11-12 13:18:19,135
2019-11-12 13:18:24,136
2019-11-12 13:18:29,138
2019-11-12 13:18:34,140
2019-11-12 13:18:39,139
2019-11-12 13:18:44,138
2019-11-12 13:18:49,137
2019-11-12 13:18:54,133
2019-11-12 13:18:59,134
2019-11-12 13:19:04,136
2019-11-12 13:19:09,135
2019-11-12 13:19:14,132
2019-11-12 13:19:19,129
2019-11-12 13:19:24,128
2019-11-12 13:19:39,128
2019-11-12 13:19:44,130
2019-11-12 13:19:49,134
2019-11-12 13:19:54,138
2019-11-12 13:19:59,139
2019-11-12 13:20:14,136
2019-11-12 13:20:19,133
2019-11-12 13:20:24,131
2019-11-12 13:20:29,130
2019-11-12 13:20:44,134
2019-11-12 13:20:49,136
2019-11-12 13:20:54,135
2019-11-12 13:20:59,136
2019-11-12 13:21:04,135
2019-11-12 13:21:09,133
2019-11-12 13:21:14,132
2019-11-12 13:21:19,130
2019-11-12 13:21:24,129
2019-11-12 13:21:29,126
2019-11-12 13:21:34,121
2019-11-12 13:21:39,118
2019-11-12 13:21:44,115
2019-11-12 13:21:49,114
2019-11-12 13:21:59,113
2019-11-12 13:22:04,114
2019-11-12 13:22:09,116
2019-11-12 13:22:14,118
2019-11-12 13:22:24,123
2019-11-12 13:22:29,131
2019-11-12 13:22:34,138
